family,level,algorithm,colors_used,execution_time
nqueens,medium,dsatur,22.0,0.0062341999873751774
nqueens,medium,greedy,25.0,0.0007090999861247838
nqueens,medium,iterated_greedy,22.5,0.003270149987656623
nqueens,medium,largest_first,27.0,0.000713250003173016
nqueens,medium,smallest_last,24.0,0.0173378000035882
nqueens,medium,welsh_powell,26.0,0.004256049985997379
nqueens,small,dsatur,12.0,0.0005504500004462898
nqueens,small,greedy,13.0,7.334999099839479e-05
nqueens,small,iterated_greedy,12.0,0.00042359999497421086
nqueens,small,largest_first,13.0,8.910000906325877e-05
nqueens,small,smallest_last,15.0,0.0011656499991659075
nqueens,small,welsh_powell,13.0,0.00033230001281481236
sudoku,easy,dsatur,10.0,0.0007264499872690067
sudoku,easy,greedy,14.0,0.00011529999028425664
sudoku,easy,iterated_greedy,11.0,0.0005259000026853755
sudoku,easy,largest_first,14.0,0.00011454999912530184
sudoku,easy,smallest_last,14.0,0.001681800014921464
sudoku,easy,welsh_powell,14.0,0.00048580000293441117
sudoku,expert,dsatur,10.0,0.0007076499896356836
sudoku,expert,greedy,14.0,0.00011590000940486789
sudoku,expert,iterated_greedy,10.5,0.0005249999958323315
sudoku,expert,largest_first,14.0,0.00010760000441223383
sudoku,expert,smallest_last,14.0,0.0016647000156808645
sudoku,expert,welsh_powell,14.0,0.00043620000360533595
sudoku,hard,dsatur,10.0,0.0007333999965339899
sudoku,hard,greedy,14.0,9.99999901978299e-05
sudoku,hard,iterated_greedy,11.0,0.0005342500080587342
sudoku,hard,largest_first,14.0,0.00010570000449661165
sudoku,hard,smallest_last,14.0,0.0015990499960025772
sudoku,hard,welsh_powell,14.0,0.00039394998748321086
sudoku,medium,dsatur,10.0,0.0007274999952642247
sudoku,medium,greedy,14.0,0.00010350000229664147
sudoku,medium,iterated_greedy,11.0,0.0005106999888084829
sudoku,medium,largest_first,14.0,0.00011355002061463892
sudoku,medium,smallest_last,14.0,0.001640249989577569
sudoku,medium,welsh_powell,14.0,0.00041640001290943474
