family,level,instance,algorithm,colors_used,execution_time,valid,error,num_vertices,num_edges,density,avg_degree,metadata
sudoku,hard,sudoku_hard_1,dsatur,10,0.0007320000149775296,True,,81,810,0.25,20.0,"{""size"": 9, ""difficulty"": ""hard"", ""given_cells"": 26}"
sudoku,hard,sudoku_hard_1,welsh_powell,14,0.0003955999854952097,True,,81,810,0.25,20.0,"{""size"": 9, ""difficulty"": ""hard"", ""given_cells"": 26}"
sudoku,hard,sudoku_hard_1,smallest_last,14,0.0015165999939199537,True,,81,810,0.25,20.0,"{""size"": 9, ""difficulty"": ""hard"", ""given_cells"": 26}"
sudoku,hard,sudoku_hard_1,largest_first,14,9.919999865815043e-05,True,,81,810,0.25,20.0,"{""size"": 9, ""difficulty"": ""hard"", ""given_cells"": 26}"
sudoku,hard,sudoku_hard_1,iterated_greedy,11,0.0005321000062394887,True,,81,810,0.25,20.0,"{""size"": 9, ""difficulty"": ""hard"", ""given_cells"": 26}"
sudoku,expert,sudoku_expert_0,greedy,14,0.00012989999959245324,True,,81,810,0.25,20.0,"{""size"": 9, ""difficulty"": ""expert"", ""given_cells"": 23}"
sudoku,expert,sudoku_expert_0,dsatur,10,0.0007548999856226146,True,,81,810,0.25,20.0,"{""size"": 9, ""difficulty"": ""expert"", ""given_cells"": 23}"
sudoku,expert,sudoku_expert_0,welsh_powell,14,0.000440200004959479,True,,81,810,0.25,20.0,"{""size"": 9, ""difficulty"": ""expert"", ""given_cells"": 23}"
sudoku,expert,sudoku_expert_0,smallest_last,14,0.0017297000158578157,True,,81,810,0.25,20.0,"{""size"": 9, ""difficulty"": ""expert"", ""given_cells"": 23}"
sudoku,expert,sudoku_expert_0,largest_first,14,0.00011419999646022916,True,,81,810,0.25,20.0,"{""size"": 9, ""difficulty"": ""expert"", ""given_cells"": 23}"
sudoku,expert,sudoku_expert_0,iterated_greedy,11,0.0005741000059060752,True,,81,810,0.25,20.0,"{""size"": 9, ""difficulty"": ""expert"", ""given_cells"": 23}"
sudoku,expert,sudoku_expert_1,greedy,14,0.00010190001921728253,True,,81,810,0.25,20.0,"{""size"": 9, ""difficulty"": ""expert"", ""given_cells"": 23}"
