Algorithm,Mean,Std Error,CI Lower,CI Upper,Margin
dsatur,8.289473684210526,1.1339252528274408,5.991922883293188,10.587024485127863,2.297550800917338
greedy,10.394736842105264,1.4109606876662801,7.535858931125478,13.25361475308505,2.858877910979786
iterated_greedy,8.81578947368421,1.1587107560372099,6.468018472970855,11.163560474397567,2.3477710007133554
largest_first,10.394736842105264,1.4536653402054638,7.449331086014308,13.34014259819622,2.9454057560909566
smallest_last,10.31578947368421,1.419787646232808,7.439026445785456,13.192552501582966,2.876763027898755
welsh_powell,10.447368421052632,1.4971273433642873,7.413900281733119,13.480836560372143,3.0334681393195124
